game_id,shot_time,player_id,shot_type,shot_score
2024-03-04_1,19:26:28,1992480617,Ч,0
2024-03-04_1,19:27:39,422838996,Ч,0
2024-03-04_1,19:28:19,1992480617,Ч,0
2024-03-04_1,19:29:41,1992480617,Ч,1
2024-03-04_1,19:31:12,422838996,Ч,0
2024-03-04_1,19:31:49,1992480617,С,0
2024-03-04_1,19:32:52,422838996,Ч,0
2024-03-04_1,19:33:25,1992480617,Ч,0
2024-03-04_1,19:34:14,1992480617,Ч,1
2024-03-04_1,19:34:52,1992480617,Ч,1
2024-03-04_1,19:35:56,422838996,Ч,0
2024-03-04_1,19:36:45,422838996,Ч,1
2024-03-04_1,19:37:28,422838996,Ч,1
2024-03-04_1,19:37:59,1992480617,Ч,0
2024-03-04_1,19:38:45,422838996,Ч,0
2024-03-04_1,19:39:41,1992480617,С,0
2024-03-04_1,19:40:42,422838996,С,0
2024-03-04_1,19:41:06,422838996,Ч,1
2024-03-04_1,19:42:05,1992480617,Ч,0
2024-03-04_1,19:43:07,422838996,Ч,0
2024-03-04_1,19:43:59,1992480617,Ч,0
2024-03-04_1,19:45:20,422838996,С,0
2024-03-04_1,19:46:02,1992480617,Ч,0
2024-03-04_1,19:47:01,422838996,С,0
2024-03-04_1,19:47:16,1992480617,Ч,0
2024-03-04_1,19:48:33,422838996,Ч,0
2024-03-04_1,19:48:56,1992480617,Ч,0
2024-03-04_1,19:49:43,422838996,Ч,0
2024-03-04_1,19:50:26,1992480617,Ч,0
2024-03-04_1,19:51:13,422838996,С,0
2024-03-04_1,19:51:47,1992480617,С,0
2024-03-04_1,19:52:32,422838996,С,0
2024-03-04_1,19:52:48,1992480617,С,0
2024-03-04_1,19:53:15,422838996,С,0
2024-03-04_1,19:53:48,1992480617,С,0
2024-03-04_1,19:54:12,1992480617,Ч,1
2024-03-04_1,19:55:09,422838996,Ч,0
2024-03-04_1,19:56:10,1992480617,Ч,0
2024-03-04_1,19:56:50,422838996,Ч,0
2024-03-04_1,19:57:15,422838996,Ч,1
2024-03-04_1,19:57:52,1992480617,Ч,0
2024-03-04_1,19:58:31,422838996,С,0
2024-03-04_1,19:59:05,1992480617,Ч,0
2024-03-04_1,20:00:00,422838996,Ч,0
2024-03-04_1,20:00:21,1992480617,Ч,0
2024-03-04_1,20:00:41,422838996,Ч,0
2024-03-04_1,20:01:43,422838996,С,1
2024-03-04_1,20:02:15,422838996,Ч,1
2024-03-04_1,20:03:09,1992480617,Ч,0
2024-03-04_1,20:03:42,422838996,С,0
2024-03-04_1,20:04:06,1992480617,Ч,0
2024-03-04_1,20:04:36,422838996,Ч,0
2024-03-04_1,20:05:08,1992480617,С,0
2024-03-04_1,20:05:46,422838996,Ч,0
2024-03-04_1,20:06:20,1992480617,Ч,0
2024-03-04_1,20:06:53,422838996,Ч,0
2024-03-04_1,20:07:11,422838996,Ч,1
2024-03-04_1,20:07:41,1992480617,Ч,0
2024-03-04_1,20:08:20,422838996,Ч,0
2024-03-04_1,20:08:52,1992480617,С,0
2024-03-04_1,20:09:21,422838996,Ч,0
2024-03-04_1,20:09:45,1992480617,Ч,0
2024-03-04_1,20:10:07,422838996,Ч,0
2024-03-04_1,20:10:25,1992480617,С,0
2024-03-04_1,20:11:02,422838996,С,0
2024-03-04_1,20:11:22,1992480617,С,0
2024-03-04_1,20:11:48,422838996,Ч,0
2024-03-04_1,20:12:16,1992480617,Ч,0
2024-03-04_1,20:12:46,422838996,Ч,0
2024-03-04_1,20:13:09,1992480617,Ч,0
2024-03-04_1,20:13:56,422838996,Ч,0
2024-03-04_1,20:14:20,1992480617,Ч,0
2024-03-04_1,20:14:50,422838996,С,0
2024-03-04_1,20:15:19,422838996,Ч,1
2024-03-04_2,20:16:51,422838996,Ч,0
2024-03-04_2,20:17:23,1992480617,Ч,0
2024-03-04_2,20:17:49,422838996,Ч,0
2024-03-04_2,20:18:33,1992480617,Ч,0
2024-03-04_2,20:19:50,422838996,С,0
2024-03-04_2,20:20:43,1992480617,С,0
2024-03-04_2,20:22:20,422838996,О,0
2024-03-04_2,20:22:54,1992480617,Ч,0
2024-03-04_2,20:23:27,422838996,Ч,0
2024-03-04_2,20:24:12,1992480617,Ч,0
2024-03-04_2,20:26:08,422838996,Ч,0
2024-03-04_2,20:26:48,1992480617,С,0
2024-03-04_2,20:27:12,422838996,Ч,0
2024-03-04_2,20:27:58,422838996,Ч,1
2024-03-04_2,20:28:02,422838996,Ч,1
2024-03-04_2,20:28:50,1992480617,Ч,0
2024-03-04_2,20:30:09,422838996,Ч,0
2024-03-04_2,20:30:40,1992480617,Ч,0
2024-03-04_2,20:31:07,422838996,Ч,0
2024-03-04_2,20:31:36,1992480617,Ч,0
2024-03-04_2,20:32:39,1992480617,Ч,1
2024-03-04_2,20:33:17,422838996,Ч,0
2024-03-04_2,20:34:22,1992480617,Ч,0
2024-03-04_2,20:34:54,1992480617,Ч,1
2024-03-04_2,20:35:24,422838996,С,0
2024-03-04_2,20:35:59,422838996,Ч,1
2024-03-04_2,20:36:41,1992480617,Ч,0
2024-03-04_2,20:37:18,1992480617,Ч,1
2024-03-04_2,20:37:25,422838996,Ч,0
2024-03-04_2,20:37:29,422838996,Ч,1
2024-03-04_2,20:40:01,1992480617,Ч,0
2024-03-04_2,20:40:07,422838996,Ч,0
2024-03-04_2,20:40:11,1992480617,Ч,0
2024-03-04_2,20:40:56,422838996,Ч,0
2024-03-04_2,20:41:56,1992480617,Ч,0
2024-03-04_2,20:42:44,422838996,Ч,0
2024-03-04_2,20:43:04,1992480617,Ч,0
2024-03-04_2,20:44:09,422838996,С,0
2024-03-04_2,20:44:19,1992480617,Ч,0
2024-03-04_2,20:45:31,422838996,Ч,0
2024-03-04_2,20:46:04,1992480617,С,0
2024-03-04_2,20:46:25,422838996,Ч,0
2024-03-04_2,20:46:53,1992480617,Ч,0
2024-03-04_2,20:47:45,422838996,С,0
2024-03-04_2,20:48:14,1992480617,Ч,0
2024-03-04_2,20:48:40,422838996,Ч,0
2024-03-04_2,20:48:59,422838996,Ч,1
2024-03-04_2,20:49:39,422838996,Ч,1
2024-03-04_2,20:50:15,1992480617,Ч,0
2024-03-04_2,20:51:23,422838996,Ч,0
2024-03-04_2,20:52:01,422838996,Ч,1
2024-03-04_2,20:52:30,1992480617,Ч,0
2024-03-04_2,20:53:12,422838996,Ч,0
2024-03-04_2,20:53:40,1992480617,Ч,0
2024-03-04_2,20:54:19,422838996,Ч,0
2024-03-04_2,20:54:43,1992480617,Ч,0
2024-03-04_2,20:55:05,422838996,Ч,0
2024-03-04_2,20:55:34,1992480617,С,0
2024-03-04_2,20:56:19,422838996,Ч,0
2024-03-04_2,20:56:56,1992480617,Ч,0
2024-03-04_2,20:57:27,422838996,Ч,0
2024-03-04_2,20:57:45,1992480617,Ч,0
2024-03-04_2,20:58:11,422838996,Ч,0
2024-03-04_2,20:58:26,1992480617,Ч,0
2024-03-04_2,20:59:05,422838996,Ч,0
2024-03-04_2,20:59:33,1992480617,С,0
2024-03-04_2,20:59:57,422838996,Ч,0
2024-03-04_2,21:01:01,1992480617,Ч,0
2024-03-04_2,21:01:28,422838996,С,0
2024-03-04_2,21:02:10,1992480617,С,0
2024-03-04_2,21:02:41,1992480617,Ч,1
2024-03-04_2,21:03:14,422838996,Ч,0
2024-03-04_2,21:03:36,1992480617,С,0
2024-03-04_2,21:04:01,422838996,Ч,0
2024-03-04_2,21:04:26,1992480617,Ч,0
2024-03-04_2,21:04:56,422838996,С,0
2024-03-04_2,21:05:18,1992480617,Ч,0
2024-03-04_2,21:06:03,1992480617,Ч,1
2024-03-04_2,21:06:18,422838996,Ч,0
2024-03-04_2,21:06:36,422838996,Ч,1
2024-03-04_3,21:08:27,1992480617,С,0
2024-03-04_3,21:10:12,422838996,Ч,0
2024-03-04_3,21:10:35,1992480617,Ч,0
2024-03-04_3,21:11:43,422838996,Ч,0
2024-03-04_3,21:12:17,1992480617,Ч,0
2024-03-04_3,21:13:04,1992480617,Ч,1
2024-03-04_3,21:13:39,1992480617,Ч,1
2024-03-04_3,21:14:29,422838996,Ч,0
2024-03-04_3,21:14:57,1992480617,Ч,0
2024-03-04_3,21:15:46,422838996,Ч,0
2024-03-04_3,21:16:21,1992480617,Ч,0
2024-03-04_3,21:17:14,1992480617,Ч,1
2024-03-04_3,21:18:03,422838996,Ч,0
2024-03-04_3,21:18:43,1992480617,Ч,0
2024-03-04_3,21:19:41,422838996,С,0
2024-03-04_3,21:20:35,1992480617,Ч,0
2024-03-04_3,21:21:49,422838996,Ч,0
2024-03-04_3,21:23:05,422838996,Ч,1
2024-03-04_3,21:23:55,1992480617,Ч,0
2024-03-04_3,21:24:33,422838996,Ч,0
